profile_id,lat,lon,profile_time,sst,ssh,sss,wind_u,wind_v,wind_speed,match_count,surface_obs_time,surface_obs_lat,surface_obs_lon,surface_distance_km,temperature_0m,temperature_50m,temperature_100m,temperature_200m,temperature_500m,temperature_1000m
sim_row_0.nc,13.99,66.69,2020-07-01T00:00:00,28.13,0.707,35.03,,,,1,2020-07-01T00:00:00,13.99,66.69,0.0,28.13,26.51,24.1,20.09,14.44,
sim_row_1.nc,23.21,68.05,2020-12-17T00:00:00,26.4,0.669,34.95,,,,1,2020-12-17T00:00:00,23.21,68.05,0.0,26.4,25.49,22.7,18.42,13.14,
sim_row_2.nc,19.71,74.53,2020-02-05T00:00:00,27.94,0.674,34.43,,,,1,2020-02-05T00:00:00,19.71,74.53,0.0,27.94,27.35,24.6,20.71,15.64,
sim_row_3.nc,17.58,65.78,2020-02-06T00:00:00,28.35,0.757,34.91,,,,1,2020-02-06T00:00:00,17.58,65.78,0.0,28.35,27.51,24.75,20.37,15.29,
sim_row_4.nc,10.5,74.78,2020-01-14T00:00:00,28.58,0.756,34.49,,,,1,2020-01-14T00:00:00,10.5,74.78,0.0,28.58,27.3,24.45,20.44,14.85,
sim_row_5.nc,10.5,61.5,2020-05-02T00:00:00,29.88,0.775,35.0,,,,1,2020-05-02T00:00:00,10.5,61.5,0.0,29.88,28.73,25.85,21.66,16.48,
sim_row_6.nc,8.93,73.21,2020-03-23T00:00:00,30.39,0.739,34.67,,,,1,2020-03-23T00:00:00,8.93,73.21,0.0,30.39,29.16,26.19,21.69,16.45,
sim_row_7.nc,21.86,74.41,2020-06-07T00:00:00,27.33,0.663,34.41,,,,1,2020-06-07T00:00:00,21.86,74.41,0.0,27.33,26.71,24.09,20.62,15.48,
sim_row_8.nc,17.62,63.09,2020-11-24T00:00:00,26.7,0.598,35.18,,,,1,2020-11-24T00:00:00,17.62,63.09,0.0,26.7,25.97,22.72,18.23,12.94,
sim_row_9.nc,19.33,67.32,2020-04-11T00:00:00,28.26,0.69,34.98,,,,1,2020-04-11T00:00:00,19.33,67.32,0.0,28.26,27.21,23.91,19.65,14.5,
