lat,lon,day_of_year,sst,ssh,sss,temp_50m,temp_100m,temp_200m,temp_500m
13.99,66.69,183,28.13,0.707,35.03,26.51,24.1,20.09,14.44
23.21,68.05,352,26.4,0.669,34.95,25.49,22.7,18.42,13.14
19.71,74.53,36,27.94,0.674,34.43,27.35,24.6,20.71,15.64
17.58,65.78,37,28.35,0.757,34.91,27.51,24.75,20.37,15.29
10.5,74.78,14,28.58,0.756,34.49,27.3,24.45,20.44,14.85
10.5,61.5,123,29.88,0.775,35.0,28.73,25.85,21.66,16.48
8.93,73.21,83,30.39,0.739,34.67,29.16,26.19,21.69,16.45
21.86,74.41,159,27.33,0.663,34.41,26.71,24.09,20.62,15.48
17.62,63.09,329,26.7,0.598,35.18,25.97,22.72,18.23,12.94
19.33,67.32,102,28.26,0.69,34.98,27.21,23.91,19.65,14.5
8.33,62.81,337,28.92,0.766,35.25,27.81,24.67,19.94,14.37
23.52,72.01,83,27.72,0.718,34.61,26.69,24.2,20.04,14.4
21.32,69.1,44,28.02,0.717,34.74,27.04,24.32,20.39,14.24
11.4,70.8,68,29.54,0.816,34.87,28.37,25.27,20.81,15.18
10.91,63.34,48,29.37,0.763,35.18,28.17,25.05,20.22,14.63
10.93,63.6,57,29.33,0.727,35.19,28.34,25.45,21.2,15.16
12.87,60.71,75,29.13,0.716,35.29,28.38,25.64,21.48,15.99
16.4,65.48,22,28.41,0.713,35.0,27.44,24.99,20.8,15.62
14.91,69.52,132,28.58,0.709,34.77,27.39,25.15,21.68,15.91
12.66,74.58,302,27.38,0.729,34.69,26.39,23.49,19.53,14.59
17.79,71.34,267,26.37,0.678,34.7,25.48,23.31,19.31,13.92
10.23,67.4,287,27.72,0.689,34.91,26.61,23.79,19.82,14.57
12.67,76.2,120,29.17,0.734,34.51,28.52,25.74,21.77,16.26
13.86,72.23,246,27.38,0.72,34.74,26.43,23.86,19.58,13.81
15.3,75.81,56,28.85,0.776,34.69,27.99,25.44,20.96,15.63
20.56,68.97,38,28.62,0.655,34.81,27.31,24.95,21.84,16.57
11.19,64.4,245,26.98,0.673,34.97,25.73,22.51,18.35,12.8
16.23,60.9,21,28.92,0.741,35.15,28.07,25.23,21.14,15.72
17.48,72.34,110,28.68,0.752,34.59,27.8,25.31,21.22,15.72
8.74,62.06,94,30.15,0.779,35.18,28.97,25.76,21.36,15.67
17.72,65.15,136,28.22,0.733,35.01,27.39,23.96,19.93,14.53
10.73,69.05,231,27.23,0.677,34.83,26.35,23.07,18.45,12.74
9.04,69.6,8,28.85,0.703,34.85,27.66,24.77,20.95,15.68
23.18,70.21,328,25.9,0.678,34.64,24.96,22.73,18.52,13.72
23.45,62.83,290,25.58,0.67,35.23,24.72,21.43,17.79,12.62
20.93,66.46,251,26.29,0.685,34.89,25.53,22.33,18.44,12.88
12.87,70.49,361,28.24,0.75,34.74,27.11,24.08,20.14,14.74
9.56,76.49,87,30.02,0.732,34.63,29.11,25.94,21.53,16.37
